antecedent,consequent,support,confidence,lift
{other vegetables yogurt}, {bottled water tropical fruit}, 0.011, 0.087, 1.549
{bottled water yogurt}, {other vegetables tropical fruit}, 0.011, 0.158, 1.733
{yogurt}, {other vegetables bottled water tropical fruit}, 0.011, 0.037, 1.449
{other vegetables}, {yogurt root vegetables}, 0.034, 0.09, 1.256
{other vegetables root vegetables}, {yogurt}, 0.034, 0.36, 1.271
{root vegetables}, {other vegetables yogurt}, 0.034, 0.147, 1.22
{other vegetables yogurt}, {root vegetables}, 0.034, 0.281, 1.22
{yogurt root vegetables}, {other vegetables}, 0.034, 0.473, 1.256
{yogurt}, {other vegetables root vegetables}, 0.034, 0.12, 1.271
{other vegetables bottled water root vegetables}, {yogurt}, 0.01, 0.386, 1.365
{bottled water yogurt root vegetables}, {other vegetables}, 0.01, 0.52, 1.381
{other vegetables}, {bottled water yogurt root vegetables}, 0.01, 0.027, 1.381
{other vegetables bottled water}, {yogurt root vegetables}, 0.01, 0.107, 1.489
{other vegetables root vegetables}, {bottled water yogurt}, 0.01, 0.106, 1.599
{bottled water root vegetables}, {other vegetables yogurt}, 0.01, 0.185, 1.536
{root vegetables}, {other vegetables bottled water yogurt}, 0.01, 0.043, 1.342
{bottled water}, {other vegetables yogurt root vegetables}, 0.01, 0.047, 1.383
{yogurt root vegetables}, {other vegetables bottled water}, 0.01, 0.14, 1.489
{other vegetables bottled water yogurt}, {root vegetables}, 0.01, 0.31, 1.342
{other vegetables yogurt root vegetables}, {bottled water}, 0.01, 0.295, 1.383
{other vegetables yogurt}, {bottled water root vegetables}, 0.01, 0.083, 1.536
{bottled water yogurt}, {other vegetables root vegetables}, 0.01, 0.151, 1.599
{yogurt}, {other vegetables bottled water root vegetables}, 0.01, 0.035, 1.365
{other vegetables}, {yogurt sausage}, 0.037, 0.099, 1.31
{other vegetables sausage}, {yogurt}, 0.037, 0.401, 1.416
{sausage}, {other vegetables yogurt}, 0.037, 0.181, 1.501
{other vegetables yogurt}, {sausage}, 0.037, 0.309, 1.501
{yogurt sausage}, {other vegetables}, 0.037, 0.493, 1.31
{yogurt}, {other vegetables sausage}, 0.037, 0.131, 1.416
{pip fruit sausage}, {other vegetables yogurt}, 0.011, 0.256, 2.129
{other vegetables pip fruit yogurt}, {sausage}, 0.011, 0.389, 1.888
{other vegetables}, {pip fruit yogurt sausage}, 0.011, 0.029, 1.665
{other vegetables sausage}, {pip fruit yogurt}, 0.011, 0.116, 2.046
{sausage}, {other vegetables pip fruit yogurt}, 0.011, 0.052, 1.888
{other vegetables yogurt sausage}, {pip fruit}, 0.011, 0.29, 1.698
{pip fruit yogurt}, {other vegetables sausage}, 0.011, 0.19, 2.046
{pip fruit yogurt sausage}, {other vegetables}, 0.011, 0.627, 1.665
{pip fruit}, {other vegetables yogurt sausage}, 0.011, 0.063, 1.698
{other vegetables pip fruit sausage}, {yogurt}, 0.011, 0.494, 1.746
{other vegetables pip fruit}, {yogurt sausage}, 0.011, 0.149, 1.975
{other vegetables yogurt}, {pip fruit sausage}, 0.011, 0.09, 2.129
{yogurt sausage}, {other vegetables pip fruit}, 0.011, 0.143, 1.975
{yogurt}, {other vegetables pip fruit sausage}, 0.011, 0.038, 1.746
{other vegetables root vegetables sausage}, {yogurt}, 0.011, 0.393, 1.387
{yogurt root vegetables sausage}, {other vegetables}, 0.011, 0.553, 1.467
{other vegetables}, {yogurt root vegetables sausage}, 0.011, 0.029, 1.467
{other vegetables root vegetables}, {yogurt sausage}, 0.011, 0.114, 1.517
{other vegetables sausage}, {yogurt root vegetables}, 0.011, 0.116, 1.621
{yogurt sausage}, {other vegetables root vegetables}, 0.011, 0.143, 1.517
{root vegetables}, {other vegetables yogurt sausage}, 0.011, 0.047, 1.256
{sausage}, {other vegetables yogurt root vegetables}, 0.011, 0.052, 1.545
{root vegetables sausage}, {other vegetables yogurt}, 0.011, 0.192, 1.594
{other vegetables yogurt root vegetables}, {sausage}, 0.011, 0.318, 1.545
{other vegetables yogurt sausage}, {root vegetables}, 0.011, 0.29, 1.256
{other vegetables yogurt}, {root vegetables sausage}, 0.011, 0.09, 1.594
{yogurt root vegetables}, {other vegetables sausage}, 0.011, 0.151, 1.621
{yogurt}, {other vegetables root vegetables sausage}, 0.011, 0.038, 1.387
{other vegetables bottled water sausage}, {yogurt}, 0.011, 0.43, 1.52
{bottled water yogurt sausage}, {other vegetables}, 0.011, 0.537, 1.427
{other vegetables}, {bottled water yogurt sausage}, 0.011, 0.029, 1.427
{other vegetables bottled water}, {yogurt sausage}, 0.011, 0.117, 1.558
{other vegetables sausage}, {bottled water yogurt}, 0.011, 0.119, 1.788
{bottled water sausage}, {other vegetables yogurt}, 0.011, 0.224, 1.861
{sausage}, {other vegetables bottled water yogurt}, 0.011, 0.054, 1.657
{bottled water}, {other vegetables yogurt sausage}, 0.011, 0.052, 1.388
{yogurt sausage}, {other vegetables bottled water}, 0.011, 0.146, 1.558
{other vegetables bottled water yogurt}, {sausage}, 0.011, 0.341, 1.657
{other vegetables yogurt sausage}, {bottled water}, 0.011, 0.297, 1.388
{other vegetables yogurt}, {bottled water sausage}, 0.011, 0.092, 1.861
{bottled water yogurt}, {other vegetables sausage}, 0.011, 0.166, 1.788
{yogurt}, {other vegetables bottled water sausage}, 0.011, 0.039, 1.52
{other vegetables}, {tropical fruit yogurt sausage}, 0.011, 0.029, 1.241
{other vegetables tropical fruit}, {yogurt sausage}, 0.011, 0.121, 1.601
{other vegetables sausage}, {tropical fruit yogurt}, 0.011, 0.119, 1.57
{tropical fruit}, {other vegetables yogurt sausage}, 0.011, 0.047, 1.269
{other vegetables tropical fruit yogurt}, {sausage}, 0.011, 0.336, 1.631
{sausage}, {other vegetables tropical fruit yogurt}, 0.011, 0.054, 1.631
{tropical fruit sausage}, {other vegetables yogurt}, 0.011, 0.202, 1.678
{other vegetables yogurt sausage}, {tropical fruit}, 0.011, 0.297, 1.269
{tropical fruit yogurt sausage}, {other vegetables}, 0.011, 0.467, 1.241
{tropical fruit yogurt}, {other vegetables sausage}, 0.011, 0.146, 1.57
{other vegetables tropical fruit sausage}, {yogurt}, 0.011, 0.473, 1.67
{other vegetables yogurt}, {tropical fruit sausage}, 0.011, 0.092, 1.678
{yogurt sausage}, {other vegetables tropical fruit}, 0.011, 0.146, 1.601
{yogurt}, {other vegetables tropical fruit sausage}, 0.011, 0.039, 1.67
{other vegetables}, {soda}, 0.124, 0.33, 1.052
{soda}, {other vegetables}, 0.124, 0.396, 1.052
{other vegetables oil}, {soda}, 0.011, 0.412, 1.313
{other vegetables soda}, {oil}, 0.011, 0.087, 1.559
{soda}, {other vegetables oil}, 0.011, 0.034, 1.313
{oil}, {other vegetables soda}, 0.011, 0.194, 1.559
{other vegetables}, {soda oil}, 0.011, 0.029, 1.377
{soda oil}, {other vegetables}, 0.011, 0.519, 1.377
{other vegetables soda}, {dessert}, 0.011, 0.089, 1.028
{soda}, {other vegetables dessert}, 0.011, 0.035, 0.98
{other vegetables}, {dessert soda}, 0.011, 0.029, 0.993
{dessert soda}, {other vegetables}, 0.011, 0.374, 0.993
{other vegetables dessert}, {soda}, 0.011, 0.307, 0.98
{dessert}, {other vegetables soda}, 0.011, 0.128, 1.028
{other vegetables soda}, {waffles}, 0.011, 0.089, 1.287
{soda}, {other vegetables waffles}, 0.011, 0.035, 1.134
{other vegetables}, {waffles soda}, 0.011, 0.029, 1.202
{other vegetables waffles}, {soda}, 0.011, 0.355, 1.134
{waffles}, {other vegetables soda}, 0.011, 0.16, 1.287
{waffles soda}, {other vegetables}, 0.011, 0.453, 1.202
{other vegetables soda}, {napkins}, 0.012, 0.099, 1.219
{soda}, {other vegetables napkins}, 0.012, 0.039, 1.169
{other vegetables}, {soda napkins}, 0.012, 0.033, 1.191
{soda napkins}, {other vegetables}, 0.012, 0.449, 1.191
{napkins}, {other vegetables soda}, 0.012, 0.151, 1.219
{other vegetables napkins}, {soda}, 0.012, 0.366, 1.169
{other vegetables soda}, {beverages}, 0.013, 0.101, 1.631
{beverages}, {other vegetables soda}, 0.013, 0.202, 1.631
{other vegetables beverages}, {soda}, 0.013, 0.437, 1.396
{soda}, {other vegetables beverages}, 0.013, 0.04, 1.396
{other vegetables}, {soda beverages}, 0.013, 0.033, 1.276
{soda beverages}, {other vegetables}, 0.013, 0.48, 1.276
{other vegetables soda}, {berries}, 0.013, 0.103, 1.295
{soda}, {other vegetables berries}, 0.013, 0.041, 1.108
{berries}, {other vegetables soda}, 0.013, 0.161, 1.295
{other vegetables berries}, {soda}, 0.013, 0.347, 1.108
{other vegetables}, {soda berries}, 0.013, 0.034, 1.207
{soda berries}, {other vegetables}, 0.013, 0.455, 1.207
{hamburger meat}, {other vegetables soda}, 0.013, 0.163, 1.312
{other vegetables soda}, {hamburger meat}, 0.013, 0.105, 1.312
{other vegetables hamburger meat}, {soda}, 0.013, 0.37, 1.179
{soda}, {other vegetables hamburger meat}, 0.013, 0.042, 1.179
{other vegetables}, {hamburger meat soda}, 0.013, 0.035, 1.231
{hamburger meat soda}, {other vegetables}, 0.013, 0.464, 1.231
{soda onions}, {other vegetables}, 0.013, 0.505, 1.341
{other vegetables soda}, {onions}, 0.013, 0.105, 1.383
{soda}, {other vegetables onions}, 0.013, 0.042, 1.242
{other vegetables}, {soda onions}, 0.013, 0.035, 1.341
{other vegetables onions}, {soda}, 0.013, 0.389, 1.242
{onions}, {other vegetables soda}, 0.013, 0.172, 1.383
{other vegetables soda}, {sugar}, 0.013, 0.105, 1.598
{soda}, {sugar other vegetables}, 0.013, 0.042, 1.427
{other vegetables}, {sugar soda}, 0.013, 0.035, 1.328
{sugar soda}, {other vegetables}, 0.013, 0.5, 1.328
{sugar other vegetables}, {soda}, 0.013, 0.447, 1.427
{sugar}, {other vegetables soda}, 0.013, 0.198, 1.598
{other vegetables cream cheese}, {soda}, 0.014, 0.351, 1.119
{other vegetables soda}, {cream cheese}, 0.014, 0.112, 1.261
{cream cheese}, {other vegetables soda}, 0.014, 0.157, 1.261
{soda}, {other vegetables cream cheese}, 0.014, 0.044, 1.119
{other vegetables}, {cream cheese soda}, 0.014, 0.037, 1.226
{cream cheese soda}, {other vegetables}, 0.014, 0.462, 1.226
{other vegetables soda}, {chocolate}, 0.014, 0.116, 1.338
{soda}, {other vegetables chocolate}, 0.014, 0.046, 1.191
{other vegetables}, {chocolate soda}, 0.014, 0.038, 1.293
{chocolate soda}, {other vegetables}, 0.014, 0.487, 1.293
{other vegetables chocolate}, {soda}, 0.014, 0.373, 1.191
{chocolate}, {other vegetables soda}, 0.014, 0.166, 1.338
{other vegetables soda}, {frozen vegetables}, 0.014, 0.116, 1.128
{soda}, {other vegetables frozen vegetables}, 0.014, 0.046, 1.004
{other vegetables}, {frozen vegetables soda}, 0.014, 0.038, 1.047
{frozen vegetables}, {other vegetables soda}, 0.014, 0.14, 1.128
{other vegetables frozen vegetables}, {soda}, 0.014, 0.315, 1.004
{frozen vegetables soda}, {other vegetables}, 0.014, 0.394, 1.047
{UHT-milk}, {other vegetables soda}, 0.015, 0.19, 1.527
{other vegetables soda}, {UHT-milk}, 0.015, 0.12, 1.527
{soda}, {other vegetables UHT-milk}, 0.015, 0.047, 1.217
{other vegetables}, {soda UHT-milk}, 0.015, 0.04, 1.439
{soda UHT-milk}, {other vegetables}, 0.015, 0.542, 1.439
{other vegetables UHT-milk}, {soda}, 0.015, 0.382, 1.217
{chicken other vegetables}, {soda}, 0.015, 0.384, 1.225
{other vegetables soda}, {chicken}, 0.015, 0.12, 1.192
{chicken}, {other vegetables soda}, 0.015, 0.148, 1.192
{soda}, {chicken other vegetables}, 0.015, 0.047, 1.225
{other vegetables}, {chicken soda}, 0.015, 0.04, 1.176
{chicken soda}, {other vegetables}, 0.015, 0.443, 1.176
{other vegetables soda}, {white bread}, 0.015, 0.124, 1.397
{soda}, {white bread other vegetables}, 0.015, 0.049, 1.348
{white bread other vegetables}, {soda}, 0.015, 0.423, 1.348
{other vegetables}, {white bread soda}, 0.015, 0.041, 1.317
{white bread}, {other vegetables soda}, 0.015, 0.173, 1.397
{white bread soda}, {other vegetables}, 0.015, 0.496, 1.317
{other vegetables soda}, {margarine}, 0.018, 0.147, 1.254
{soda}, {margarine other vegetables}, 0.018, 0.058, 1.161
{other vegetables}, {margarine soda}, 0.018, 0.048, 1.193
{margarine soda}, {other vegetables}, 0.018, 0.449, 1.193
{margarine}, {other vegetables soda}, 0.018, 0.156, 1.254
{margarine other vegetables}, {soda}, 0.018, 0.364, 1.161
{other vegetables soda}, {fruit/vegetable juice}, 0.019, 0.155, 1.24
{soda}, {other vegetables fruit/vegetable juice}, 0.019, 0.061, 1.167
{other vegetables}, {fruit/vegetable juice soda}, 0.019, 0.051, 1.158
{fruit/vegetable juice soda}, {other vegetables}, 0.019, 0.436, 1.158
{fruit/vegetable juice}, {other vegetables soda}, 0.019, 0.154, 1.24
{other vegetables fruit/vegetable juice}, {soda}, 0.019, 0.366, 1.167
{other vegetables soda}, {domestic eggs}, 0.02, 0.159, 1.195
{soda}, {other vegetables domestic eggs}, 0.02, 0.063, 1.159
{domestic eggs}, {other vegetables soda}, 0.02, 0.148, 1.195
{other vegetables domestic eggs}, {soda}, 0.02, 0.363, 1.159
{other vegetables}, {soda domestic eggs}, 0.02, 0.052, 1.182
{soda domestic eggs}, {other vegetables}, 0.02, 0.445, 1.182
{other vegetables soda}, {coffee}, 0.02, 0.161, 1.402
{soda}, {coffee other vegetables}, 0.02, 0.064, 1.296
{coffee}, {other vegetables soda}, 0.02, 0.174, 1.402
{other vegetables}, {coffee soda}, 0.02, 0.053, 1.233
{coffee other vegetables}, {soda}, 0.02, 0.406, 1.296
{coffee soda}, {other vegetables}, 0.02, 0.464, 1.233
{other vegetables soda}, {beef}, 0.02, 0.163, 1.365
{soda}, {other vegetables beef}, 0.02, 0.065, 1.273
{beef}, {other vegetables soda}, 0.02, 0.17, 1.365
{other vegetables}, {soda beef}, 0.02, 0.054, 1.256
{other vegetables beef}, {soda}, 0.02, 0.399, 1.273
{soda beef}, {other vegetables}, 0.02, 0.473, 1.256
{other vegetables soda}, {curd}, 0.02, 0.163, 1.351
{soda}, {other vegetables curd}, 0.02, 0.065, 1.254
{other vegetables}, {curd soda}, 0.02, 0.054, 1.249
{other vegetables curd}, {soda}, 0.02, 0.393, 1.254
{curd}, {other vegetables soda}, 0.02, 0.168, 1.351
{curd soda}, {other vegetables}, 0.02, 0.47, 1.249
{other vegetables soda}, {newspapers}, 0.021, 0.169, 1.212
{soda}, {other vegetables newspapers}, 0.021, 0.067, 1.301
{other vegetables newspapers}, {soda}, 0.021, 0.408, 1.301
{other vegetables}, {newspapers soda}, 0.021, 0.056, 1.122
{newspapers}, {other vegetables soda}, 0.021, 0.15, 1.212
{newspapers soda}, {other vegetables}, 0.021, 0.423, 1.122
{other vegetables soda}, {pork}, 0.021, 0.169, 1.28
{soda}, {other vegetables pork}, 0.021, 0.067, 1.205
{other vegetables}, {soda pork}, 0.021, 0.056, 1.223
{other vegetables pork}, {soda}, 0.021, 0.378, 1.205
{pork}, {other vegetables soda}, 0.021, 0.159, 1.28
{soda pork}, {other vegetables}, 0.021, 0.461, 1.223
{other vegetables soda}, {butter}, 0.023, 0.184, 1.454
{soda}, {other vegetables butter}, 0.023, 0.073, 1.273
{other vegetables}, {soda butter}, 0.023, 0.061, 1.366
{butter}, {other vegetables soda}, 0.023, 0.181, 1.454
{other vegetables butter}, {soda}, 0.023, 0.399, 1.273
{soda butter}, {other vegetables}, 0.023, 0.514, 1.366
{other vegetables soda}, {brown bread}, 0.023, 0.186, 1.368
{soda}, {other vegetables brown bread}, 0.023, 0.074, 1.232
{other vegetables}, {brown bread soda}, 0.023, 0.061, 1.299
{brown bread soda}, {other vegetables}, 0.023, 0.489, 1.299
{brown bread}, {other vegetables soda}, 0.023, 0.17, 1.368
{other vegetables brown bread}, {soda}, 0.023, 0.386, 1.232
{other vegetables soda}, {canned beer}, 0.023, 0.186, 1.126
{soda}, {other vegetables canned beer}, 0.023, 0.074, 1.096
{other vegetables}, {canned beer soda}, 0.023, 0.061, 1.122
{canned beer}, {other vegetables soda}, 0.023, 0.14, 1.126
{other vegetables canned beer}, {soda}, 0.023, 0.344, 1.096
{canned beer soda}, {other vegetables}, 0.023, 0.423, 1.122
{whipped/sour cream}, {other vegetables soda}, 0.023, 0.149, 1.202
{other vegetables soda}, {whipped/sour cream}, 0.023, 0.186, 1.202
{soda}, {whipped/sour cream other vegetables}, 0.023, 0.074, 1.1
{other vegetables}, {whipped/sour cream soda}, 0.023, 0.061, 1.264
{whipped/sour cream soda}, {other vegetables}, 0.023, 0.476, 1.264
{whipped/sour cream other vegetables}, {soda}, 0.023, 0.345, 1.1
{other vegetables soda}, {pastry}, 0.024, 0.194, 1.094
{soda}, {pastry other vegetables}, 0.024, 0.077, 1.075
{pastry}, {other vegetables soda}, 0.024, 0.136, 1.094
{pastry other vegetables}, {soda}, 0.024, 0.337, 1.075
{other vegetables}, {pastry soda}, 0.024, 0.064, 1.015
{pastry soda}, {other vegetables}, 0.024, 0.382, 1.015
{soda bottled beer}, {other vegetables}, 0.025, 0.451, 1.198
{other vegetables soda}, {bottled beer}, 0.025, 0.2, 1.262
{soda}, {other vegetables bottled beer}, 0.025, 0.079, 1.159
{other vegetables}, {soda bottled beer}, 0.025, 0.066, 1.198
{bottled beer}, {other vegetables soda}, 0.025, 0.157, 1.262
{other vegetables bottled beer}, {soda}, 0.025, 0.363, 1.159
{soda frankfurter}, {other vegetables}, 0.025, 0.487, 1.294
{other vegetables soda}, {frankfurter}, 0.025, 0.2, 1.457
{soda}, {other vegetables frankfurter}, 0.025, 0.079, 1.3
{other vegetables}, {soda frankfurter}, 0.025, 0.066, 1.294
{other vegetables frankfurter}, {soda}, 0.025, 0.408, 1.3
{frankfurter}, {other vegetables soda}, 0.025, 0.181, 1.457
{other vegetables soda}, {pip fruit}, 0.026, 0.213, 1.247
{soda}, {other vegetables pip fruit}, 0.026, 0.084, 1.165
{other vegetables}, {pip fruit soda}, 0.026, 0.07, 1.159
{pip fruit soda}, {other vegetables}, 0.026, 0.436, 1.159
{pip fruit}, {other vegetables soda}, 0.026, 0.155, 1.247
{other vegetables pip fruit}, {soda}, 0.026, 0.365, 1.165
{soda citrus fruit}, {other vegetables}, 0.028, 0.425, 1.129
{other vegetables soda}, {citrus fruit}, 0.028, 0.223, 1.203
{soda}, {other vegetables citrus fruit}, 0.028, 0.088, 1.141
{other vegetables}, {soda citrus fruit}, 0.028, 0.074, 1.129
{other vegetables citrus fruit}, {soda}, 0.028, 0.358, 1.141
{citrus fruit}, {other vegetables soda}, 0.028, 0.149, 1.203
{other vegetables soda}, {shopping bags}, 0.031, 0.25, 1.486
{soda}, {other vegetables shopping bags}, 0.031, 0.099, 1.354
{soda shopping bags}, {other vegetables}, 0.031, 0.48, 1.275
{other vegetables}, {soda shopping bags}, 0.031, 0.082, 1.275
{shopping bags}, {other vegetables soda}, 0.031, 0.184, 1.486
{other vegetables shopping bags}, {soda}, 0.031, 0.425, 1.354
{other vegetables soda}, {tropical fruit}, 0.031, 0.25, 1.07
{soda}, {other vegetables tropical fruit}, 0.031, 0.099, 1.084
{tropical fruit soda}, {other vegetables}, 0.031, 0.379, 1.007
{other vegetables}, {tropical fruit soda}, 0.031, 0.082, 1.007
{other vegetables tropical fruit}, {soda}, 0.031, 0.34, 1.084
{tropical fruit}, {other vegetables soda}, 0.031, 0.133, 1.07
{other vegetables soda}, {root vegetables}, 0.034, 0.277, 1.2
{soda}, {other vegetables root vegetables}, 0.034, 0.11, 1.165
{other vegetables}, {soda root vegetables}, 0.034, 0.091, 1.122
{other vegetables root vegetables}, {soda}, 0.034, 0.365, 1.165
{root vegetables}, {other vegetables soda}, 0.034, 0.149, 1.2
{soda root vegetables}, {other vegetables}, 0.034, 0.423, 1.122
{other vegetables soda}, {sausage}, 0.035, 0.285, 1.384
{soda}, {other vegetables sausage}, 0.035, 0.113, 1.216
{other vegetables}, {soda sausage}, 0.035, 0.094, 1.217
{other vegetables sausage}, {soda}, 0.035, 0.381, 1.216
{sausage}, {other vegetables soda}, 0.035, 0.172, 1.384
{soda sausage}, {other vegetables}, 0.035, 0.458, 1.217
{tropical fruit soda sausage}, {other vegetables}, 0.01, 0.464, 1.233
{other vegetables soda}, {tropical fruit sausage}, 0.01, 0.081, 1.475
{other vegetables soda sausage}, {tropical fruit}, 0.01, 0.283, 1.209
{soda}, {other vegetables tropical fruit sausage}, 0.01, 0.032, 1.367
{tropical fruit soda}, {other vegetables sausage}, 0.01, 0.122, 1.316
{other vegetables}, {tropical fruit soda sausage}, 0.01, 0.027, 1.233
{other vegetables tropical fruit}, {soda sausage}, 0.01, 0.11, 1.419
{other vegetables sausage}, {tropical fruit soda}, 0.01, 0.108, 1.316
{tropical fruit}, {other vegetables soda sausage}, 0.01, 0.043, 1.209
{sausage}, {other vegetables soda tropical fruit}, 0.01, 0.049, 1.565
{tropical fruit sausage}, {other vegetables soda}, 0.01, 0.183, 1.475
{soda sausage}, {other vegetables tropical fruit}, 0.01, 0.13, 1.419
{other vegetables soda tropical fruit}, {sausage}, 0.01, 0.322, 1.565
{other vegetables tropical fruit sausage}, {soda}, 0.01, 0.429, 1.367
{soda sausage}, {other vegetables root vegetables}, 0.011, 0.143, 1.517
{other vegetables soda}, {root vegetables sausage}, 0.011, 0.089, 1.581
{other vegetables soda root vegetables}, {sausage}, 0.011, 0.321, 1.558
{other vegetables soda sausage}, {root vegetables}, 0.011, 0.312, 1.351
{soda}, {other vegetables root vegetables sausage}, 0.011, 0.035, 1.282
{other vegetables root vegetables sausage}, {soda}, 0.011, 0.402, 1.282
{other vegetables}, {soda root vegetables sausage}, 0.011, 0.029, 1.297
{other vegetables root vegetables}, {soda sausage}, 0.011, 0.117, 1.517
{other vegetables sausage}, {soda root vegetables}, 0.011, 0.119, 1.461
{root vegetables sausage}, {other vegetables soda}, 0.011, 0.196, 1.581
{sausage}, {other vegetables soda root vegetables}, 0.011, 0.054, 1.558
{root vegetables}, {other vegetables soda sausage}, 0.011, 0.048, 1.351
{soda root vegetables sausage}, {other vegetables}, 0.011, 0.489, 1.297
{soda root vegetables}, {other vegetables sausage}, 0.011, 0.136, 1.461
{other vegetables soda}, {bottled water}, 0.037, 0.295, 1.383
{soda}, {other vegetables bottled water}, 0.037, 0.117, 1.246
{other vegetables}, {bottled water soda}, 0.037, 0.097, 1.278
{other vegetables bottled water}, {soda}, 0.037, 0.391, 1.246
{bottled water}, {other vegetables soda}, 0.037, 0.172, 1.383
{bottled water soda}, {other vegetables}, 0.037, 0.481, 1.278
{tropical fruit soda bottled water}, {other vegetables}, 0.011, 0.471, 1.251
{other vegetables soda}, {tropical fruit bottled water}, 0.011, 0.085, 1.501
{other vegetables soda bottled water}, {tropical fruit}, 0.011, 0.287, 1.227
{soda}, {other vegetables bottled water tropical fruit}, 0.011, 0.034, 1.308
{tropical fruit soda}, {other vegetables bottled water}, 0.011, 0.129, 1.369
{other vegetables}, {tropical fruit soda bottled water}, 0.011, 0.028, 1.251
{other vegetables tropical fruit}, {bottled water soda}, 0.011, 0.115, 1.512
{other vegetables bottled water}, {tropical fruit soda}, 0.011, 0.112, 1.369
{tropical fruit}, {other vegetables soda bottled water}, 0.011, 0.045, 1.227
{bottled water}, {other vegetables soda tropical fruit}, 0.011, 0.049, 1.586
{tropical fruit bottled water}, {other vegetables soda}, 0.011, 0.186, 1.501
{bottled water soda}, {other vegetables tropical fruit}, 0.011, 0.138, 1.512
{other vegetables soda tropical fruit}, {bottled water}, 0.011, 0.339, 1.586
{other vegetables bottled water tropical fruit}, {soda}, 0.011, 0.41, 1.308
{soda sausage}, {other vegetables bottled water}, 0.012, 0.15, 1.592
{other vegetables soda}, {bottled water sausage}, 0.012, 0.093, 1.888
{other vegetables soda bottled water}, {sausage}, 0.012, 0.315, 1.528
{other vegetables soda sausage}, {bottled water}, 0.012, 0.326, 1.526
{soda}, {other vegetables bottled water sausage}, 0.012, 0.037, 1.435
{other vegetables bottled water sausage}, {soda}, 0.012, 0.45, 1.435
{other vegetables}, {bottled water soda sausage}, 0.012, 0.031, 1.44
{other vegetables bottled water}, {soda sausage}, 0.012, 0.123, 1.592
{other vegetables sausage}, {bottled water soda}, 0.012, 0.124, 1.632
{bottled water sausage}, {other vegetables soda}, 0.012, 0.234, 1.888
{sausage}, {other vegetables soda bottled water}, 0.012, 0.056, 1.528
{bottled water}, {other vegetables soda sausage}, 0.012, 0.054, 1.526
{bottled water soda sausage}, {other vegetables}, 0.012, 0.542, 1.44
{bottled water soda}, {other vegetables sausage}, 0.012, 0.152, 1.632
{other vegetables bottled water root vegetables}, {soda}, 0.012, 0.465, 1.484
{other vegetables soda}, {bottled water root vegetables}, 0.012, 0.097, 1.794
{other vegetables soda bottled water}, {root vegetables}, 0.012, 0.329, 1.425
{soda root vegetables}, {other vegetables bottled water}, 0.012, 0.148, 1.579
{soda}, {other vegetables bottled water root vegetables}, 0.012, 0.038, 1.484
{other vegetables soda root vegetables}, {bottled water}, 0.012, 0.351, 1.641
{other vegetables}, {bottled water soda root vegetables}, 0.012, 0.032, 1.418
{other vegetables bottled water}, {soda root vegetables}, 0.012, 0.128, 1.579
{other vegetables root vegetables}, {bottled water soda}, 0.012, 0.128, 1.681
{bottled water root vegetables}, {other vegetables soda}, 0.012, 0.223, 1.794
{root vegetables}, {other vegetables soda bottled water}, 0.012, 0.052, 1.425
{bottled water}, {other vegetables soda root vegetables}, 0.012, 0.056, 1.641
{bottled water soda root vegetables}, {other vegetables}, 0.012, 0.534, 1.418
{bottled water soda}, {other vegetables root vegetables}, 0.012, 0.158, 1.681
{other vegetables soda}, {yogurt}, 0.043, 0.347, 1.227
{soda}, {other vegetables yogurt}, 0.043, 0.137, 1.143
{soda yogurt}, {other vegetables}, 0.043, 0.442, 1.174
{other vegetables}, {soda yogurt}, 0.043, 0.114, 1.174
{other vegetables yogurt}, {soda}, 0.043, 0.358, 1.143
{yogurt}, {other vegetables soda}, 0.043, 0.152, 1.227
{other vegetables soda}, {bottled water yogurt}, 0.012, 0.095, 1.43
{other vegetables soda bottled water}, {yogurt}, 0.012, 0.322, 1.137
{soda}, {other vegetables bottled water yogurt}, 0.012, 0.038, 1.165
{bottled water soda yogurt}, {other vegetables}, 0.012, 0.484, 1.286
{soda yogurt}, {other vegetables bottled water}, 0.012, 0.121, 1.289
{other vegetables}, {bottled water soda yogurt}, 0.012, 0.031, 1.286
{other vegetables bottled water}, {soda yogurt}, 0.012, 0.126, 1.289
{bottled water}, {other vegetables soda yogurt}, 0.012, 0.055, 1.281
{other vegetables bottled water yogurt}, {soda}, 0.012, 0.365, 1.165
{other vegetables soda yogurt}, {bottled water}, 0.012, 0.274, 1.281
{bottled water soda}, {other vegetables yogurt}, 0.012, 0.155, 1.287
{other vegetables yogurt}, {bottled water soda}, 0.012, 0.098, 1.287
{bottled water yogurt}, {other vegetables soda}, 0.012, 0.178, 1.43
{yogurt}, {other vegetables soda bottled water}, 0.012, 0.042, 1.137
{soda citrus fruit}, {other vegetables yogurt}, 0.012, 0.181, 1.505
{other vegetables soda}, {yogurt citrus fruit}, 0.012, 0.095, 1.632
{soda}, {other vegetables yogurt citrus fruit}, 0.012, 0.038, 1.322
{soda yogurt citrus fruit}, {other vegetables}, 0.012, 0.5, 1.328
{soda yogurt}, {other vegetables citrus fruit}, 0.012, 0.121, 1.562
{other vegetables yogurt citrus fruit}, {soda}, 0.012, 0.414, 1.322
{other vegetables}, {soda yogurt citrus fruit}, 0.012, 0.031, 1.328
{other vegetables soda citrus fruit}, {yogurt}, 0.012, 0.426, 1.505
